provider_id,state,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,readm_30_ami_hrrp_number_of_readmissions,readm_30_cabg_hrrp_number_of_readmissions,readm_30_copd_hrrp_number_of_readmissions,readm_30_hf_hrrp_number_of_readmissions,readm_30_hip_knee_hrrp_number_of_readmissions,readm_30_pn_hrrp_number_of_readmissions,readm_30_ami_hrrp_number_of_discharges,readm_30_cabg_hrrp_number_of_discharges,readm_30_copd_hrrp_number_of_discharges,readm_30_hf_hrrp_number_of_discharges,readm_30_hip_knee_hrrp_number_of_discharges,readm_30_pn_hrrp_number_of_discharges,readm_30_ami_hrrp_excess_readmission_ratio,readm_30_cabg_hrrp_excess_readmission_ratio,readm_30_copd_hrrp_excess_readmission_ratio,readm_30_hf_hrrp_excess_readmission_ratio,readm_30_hip_knee_hrrp_excess_readmission_ratio,readm_30_pn_hrrp_excess_readmission_ratio,readm_30_ami_hrrp_predicted_readmission_rate,readm_30_cabg_hrrp_predicted_readmission_rate,readm_30_copd_hrrp_predicted_readmission_rate,readm_30_hf_hrrp_predicted_readmission_rate,readm_30_hip_knee_hrrp_predicted_readmission_rate,readm_30_pn_hrrp_predicted_readmission_rate,readm_30_ami_hrrp_expected_readmission_rate,readm_30_cabg_hrrp_expected_readmission_rate,readm_30_copd_hrrp_expected_readmission_rate,readm_30_hf_hrrp_expected_readmission_rate,readm_30_hip_knee_hrrp_expected_readmission_rate,readm_30_pn_hrrp_expected_readmission_rate,value
10021,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,,,27.0,19.0,0.0,25.0,,,137.0,101.0,,170.0,,,0.9984,0.9686,1.1144,0.9591,,,19.7874,20.7402,5.8521,15.9605,,,19.8197,21.4124,5.2515,16.6408,0.9978520000000001
10022,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,,2.0,3.0,2.0,2.0,,,,12.0,0.0,,12.0,,,85.0,,,121.0,,,0.9607,0.9699,,0.8993,,,17.1491,21.2696,,14.3374,,,17.8512,21.9288,,15.9428,0.957417
10023,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,72.0,26.0,50.0,135.0,23.0,55.0,382.0,159.0,264.0,556.0,490.0,269.0,1.0884,1.0936,0.9784,1.0667,1.0368,1.0846,17.5449,14.3778,19.4923,23.5551,4.5506,18.8647,16.1203,13.1474,19.9234,22.081999999999997,4.3891,17.3926,1.028851
10024,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,55.0,27.0,62.0,101.0,18.0,100.0,280.0,201.0,429.0,586.0,367.0,596.0,1.0767,0.9801,0.8619,0.8653,1.0829,0.9887,18.0898,13.7835,16.7124,18.7222,4.4844,16.8771,16.8014,14.0628,19.3902,21.6365,4.1409,17.0703,1.017859
10029,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,40.0,13.0,87.0,166.0,44.0,87.0,277.0,152.0,492.0,741.0,676.0,619.0,1.0013,0.8755,0.9653,1.0639,1.3205,0.9232,14.4144,11.5447,18.1516,21.8919,5.7023,14.7046,14.3961,13.1861,18.8047,20.5777,4.3182,15.9287,0.89581
10056,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,44.0,23.0,89.0,112.0,73.0,112.0,282.0,121.0,434.0,529.0,1529.0,769.0,1.0090000000000001,1.1556,1.0217,1.0258,1.1341,0.9417,15.4186,14.825999999999999,20.1753,20.8798,4.6151,14.9597,15.2803,12.8293,19.746,20.3546,4.0694,15.8863,1.051588
10032,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,,2.0,,2.0,2.0,,,,0.0,0.0,,0.0,,,,,,,,,0.9336,0.9854,,0.9539,,,16.7585,21.3636,,14.7344,,,17.9504,21.68,,15.4471,0.92065
10033,AL,Acute Care Hospitals,Government - State,1,1,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,85.0,35.0,61.0,172.0,26.0,143.0,441.0,253.0,302.0,680.0,338.0,736.0,1.081,0.9778,0.9991,1.0857,1.2627,1.0855,18.2266,14.1486,20.218,24.5301,6.3121,18.8439,16.8615,14.47,20.2355,22.5942,4.9987,17.3596,0.9628950000000001
10034,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4.0,2.0,,2.0,2.0,2.0,2.0,,,,20.0,24.0,,19.0,,,99.0,115.0,,160.0,,,1.0069,0.9876,,0.9249,,,19.7432,21.5357,,14.3115,,,19.6075,21.8062,,15.4739,0.9350069999999999
10035,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,12.0,,59.0,123.0,17.0,109.0,98.0,,320.0,556.0,361.0,706.0,0.9602,,0.9946,1.0371,1.011,0.9690000000000001,14.6251,,18.5484,21.7209,4.6497,15.6649,15.2319,,18.649,20.943,4.599,16.1666,0.966526
10036,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,45.0,47.0,0.0,56.0,,,239.0,189.0,,346.0,,,0.9936,1.0728,0.8509,1.0069,,,19.0063,22.5771,4.3132,16.085,,,19.1289,21.0451,5.0688,15.9755,0.9380719999999999
10038,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,18.0,,54.0,49.0,0.0,40.0,74.0,,293.0,177.0,,225.0,1.0603,,1.0205,1.1004,1.0267,1.0344,19.5255,,17.9814,24.2821,5.0414,17.0094,18.4152,,17.6195,22.066999999999997,4.9105,16.4437,0.979949
10039,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,172.0,71.0,206.0,386.0,87.0,324.0,1195.0,565.0,1146.0,1779.0,1821.0,1823.0,0.9717,0.9574,0.966,0.9815,1.0581,1.0103,14.5305,12.835,18.1729,21.7622,4.717,17.7435,14.953,13.4066,18.8118,22.1713,4.458,17.5623,1.008153
10040,AL,Acute Care Hospitals,Proprietary,1,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,31.0,22.0,100.0,116.0,33.0,145.0,198.0,122.0,518.0,559.0,350.0,788.0,1.0243,1.1238,0.9911,0.9586,1.5118,1.0531,14.9632,14.6937,19.42,21.2178,7.0889999999999995,18.0587,14.6077,13.075,19.5945,22.1345,4.689,17.1473,1.0307790000000001
10044,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,5.0,2.0,,2.0,3.0,2.0,3.0,,,,0.0,0.0,,17.0,,,,,,173.0,,,0.9542,0.9441,,0.8891,,,16.4237,18.5587,,13.1623,,,17.2124,19.6572,,14.8035,0.899546
10045,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,4.0,2.0,,2.0,3.0,2.0,3.0,2.0,,,40.0,25.0,,44.0,,,168.0,106.0,,191.0,,,1.0909,1.0134,,1.1511,,,20.3734,22.8057,,19.1965,,,18.6764,22.5052,,16.6771,0.939466
10046,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,17.0,0.0,74.0,78.0,0.0,67.0,71.0,,344.0,330.0,,367.0,1.0728,0.9916,1.0741,1.0182,1.0534,1.025,17.9102,14.3102,20.1332,23.291999999999998,5.0183,17.9053,16.6951,14.4315,18.7446,22.8763,4.7639,17.4685,0.9718950000000001
10047,AL,Acute Care Hospitals,Proprietary,1,1,3.0,,,2.0,2.0,2.0,3.0,,,,0.0,,,24.0,,,,,,135.0,,,1.0013,,,1.0595,,,15.9922,,,15.6393,,,15.9707,,,14.7605,0.9317209999999999
10049,AL,Acute Care Hospitals,Proprietary,1,1,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,,,49.0,27.0,0.0,21.0,,,257.0,124.0,,189.0,,,1.0685,1.028,0.9427,0.9261,,,17.4275,20.4345,4.4138,13.0936,,,16.3096,19.8779,4.6821,14.1385,1.0081069999999999
10051,AL,Acute Care Hospitals,Government - Local,0,1,3.0,2.0,,2.0,,2.0,3.0,,,,13.0,0.0,,0.0,,,64.0,,,,,,1.0207,0.9591,,0.9854,,,18.2522,16.7935,,16.4353,,,17.8818,17.5098,,16.6787,0.926167
10052,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,,2.0,2.0,1.0,3.0,,,,0.0,0.0,,23.0,,,,,,132.0,,,0.9592,0.9791,,1.0253,,,18.2009,21.7594,,16.4668,,,18.9743,22.225,,16.0606,0.913665
10055,AL,Acute Care Hospitals,Proprietary,1,1,4.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,46.0,13.0,57.0,100.0,27.0,73.0,351.0,130.0,394.0,546.0,533.0,573.0,0.9535,0.9259999999999999,0.893,0.9299,1.0874,0.8759999999999999,13.8729,12.0247,16.3107,19.1142,4.7605,13.8925,14.549000000000001,12.9852,18.2646,20.5559,4.3779,15.8593,1.020101
10058,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,,,,,,2.0,2.0,,,,,,,15.0,,,,,,76.0,,,,,,1.0457,,,,,,16.7387,,,,,,16.0069,1.05494
10059,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,,2.0,,2.0,3.0,2.0,,,15.0,15.0,,23.0,,,94.0,57.0,,184.0,,,0.9608,1.0201,,0.8855,,,18.7558,24.1049,,15.898,,,19.5212,23.63,,17.9545,0.8756459999999999
10061,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,62.0,42.0,0.0,49.0,,,356.0,185.0,,346.0,,,0.9659,1.0337,1.0065,0.94,,,18.0532,21.6085,4.3591,15.0658,,,18.691,20.9043,4.3311,16.0278,0.956735
10062,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,2.0,1.0,3.0,,,,21.0,12.0,,27.0,,,145.0,79.0,,188.0,,,0.9529,0.9466,,0.9761,,,16.6022,19.3439,,15.0068,,,17.4226,20.4357,,15.3742,0.978
10065,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,,25.0,54.0,11.0,72.0,,,225.0,278.0,98.0,406.0,0.9422,,0.8441,0.9590000000000001,1.2701,1.042,13.3289,,15.921,20.3376,6.4073,17.2145,14.1463,,18.8616,21.2074,5.0447,16.5199,0.994182
10069,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,2.0,2.0,3.0,2.0,,,18.0,15.0,,12.0,,,90.0,91.0,,115.0,,,1.0356,0.951,,0.9339,,,17.5193,19.8141,,13.342,,,16.9163,20.8347,,14.2861,0.9985930000000001
10073,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,2.0,1.0,2.0,2.0,,,18.0,12.0,,16.0,,,109.0,75.0,,122.0,,,0.977,0.9574,,0.9685,,,17.8964,19.4603,,14.4164,,,18.317999999999998,20.3265,,14.8853,1.027543
10078,AL,Acute Care Hospitals,Government - Local,1,1,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,70.0,22.0,75.0,128.0,30.0,97.0,366.0,111.0,523.0,639.0,386.0,562.0,1.0669,1.1001,0.8597,0.9215,1.3843,0.9856,18.0755,16.7176,16.2109,20.8207,6.1183,17.3947,16.9428,15.1968,18.8559,22.595,4.4198,17.6495,1.002898
10079,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,,,72.0,49.0,0.0,58.0,,,348.0,213.0,,303.0,,,1.0824,1.0493,0.929,1.0955,,,19.2006,21.6271,4.1546,17.5957,,,17.7388,20.6119,4.4722,16.0613,0.9212739999999999
10083,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,,47.0,75.0,14.0,70.0,,,348.0,354.0,161.0,381.0,0.9752,,0.8688,0.9878,1.2266,1.0696,17.1868,,16.1133,21.3985,6.1834,17.4589,17.6244,,18.5458,21.6618,5.0413,16.3233,0.9794139999999999
10085,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,17.0,,107.0,149.0,17.0,144.0,71.0,,527.0,675.0,428.0,788.0,1.0463,,1.0449,0.9939,0.941,1.0496,20.0829,,19.7512,22.1303,4.2482,17.954,19.1951,,18.9018,22.2659,4.5147,17.1061,0.973507
10086,AL,Acute Care Hospitals,Proprietary,1,1,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,,,43.0,16.0,,33.0,,,188.0,84.0,,262.0,,,1.0881,0.9788,,0.9069,,,19.9256,20.5923,,14.465,,,18.3127,21.0379,,15.9507,0.9963620000000001
10087,AL,Acute Care Hospitals,Government - State,1,1,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,0.0,0.0,,,,,,,,,,,1.0224,0.9953,,,,,21.0107,17.0919,,,,,20.5512,17.1734,,,0.966342
10089,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,16.0,,99.0,55.0,15.0,59.0,64.0,,429.0,231.0,261.0,371.0,1.0687,,1.0761,1.0426,1.0607,0.9645,18.8252,,21.9098,22.6893,5.3049,16.4026,17.6155,,20.3606,21.7626,5.0014,17.0058,0.96888
10090,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,42.0,16.0,95.0,121.0,26.0,142.0,238.0,151.0,474.0,614.0,514.0,685.0,1.0793,0.9381,1.0344,0.9606,1.0427,1.1916,15.8172,12.0453,19.5698,20.104,4.8993,19.3929,14.655,12.84,18.9185,20.9277,4.6988,16.274,0.97825
10091,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,2.0,1.0,2.0,,,,12.0,11.0,,0.0,,,91.0,74.0,,,,,0.9762,0.9547,,0.9157,,,14.822000000000001,18.5668,,12.5507,,,15.1826,19.4474,,13.7066,0.9889319999999999
10092,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,91.0,20.0,266.0,262.0,47.0,314.0,480.0,162.0,1282.0,1131.0,796.0,1590.0,1.1252,0.9652,0.9944,1.0439,1.2099,1.1109,17.5156,13.1028,20.7783,22.9289,5.4367,19.3994,15.5672,13.5751,20.8945,21.9652,4.4936,17.4621,0.9930680000000001
10095,AL,Acute Care Hospitals,Government - Local,1,1,,,,,,1.0,2.0,,,,,,,0.0,,,,,,,,,,,,0.9697,,,,,,14.6707,,,,,,15.1293,1.026289
10097,AL,Acute Care Hospitals,Government - State,1,1,3.0,2.0,,2.0,2.0,2.0,3.0,,,,0.0,0.0,,0.0,,,,,,,,,1.0054,1.0058,,0.9741,,,16.9724,18.9381,,14.7241,,,16.8807,18.8285,,15.1149,0.9670040000000001
10099,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2.0,2.0,,2.0,2.0,2.0,3.0,1.0,,,23.0,14.0,,25.0,,,100.0,95.0,,191.0,,,1.0872,0.9526,,0.9823,,,17.6553,17.7357,,13.5501,,,16.2392,18.6184,,13.7949,1.020358
10100,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,20.0,15.0,20.0,65.0,28.0,58.0,205.0,163.0,176.0,336.0,615.0,387.0,0.9142,0.9059,0.8638,0.9649,1.0194,0.9655,12.1758,11.2586,16.8134,19.9877,4.4921,15.4463,13.3188,12.4279,19.4651,20.7153,4.4066,15.9976,0.957383
10101,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,,2.0,1.0,2.0,3.0,2.0,,,22.0,35.0,,18.0,,,143.0,139.0,,106.0,,,0.9732,1.0617,,1.0227,,,16.592,22.5175,,15.9045,,,17.0485,21.2094,,15.5516,0.997603
10102,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,,,,,,0.9222,,,,,,13.2914,,,,,,14.4132,0.9808389999999999
10103,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,52.0,35.0,69.0,108.0,14.0,60.0,284.0,175.0,330.0,484.0,298.0,418.0,1.0615,1.2089,1.0072,1.0158,0.9790000000000001,0.879,17.0751,16.1772,20.7617,22.1143,4.8389999999999995,15.948,16.0857,13.3813,20.6132,21.771,4.9430000000000005,18.1424,1.009932
10104,AL,Acute Care Hospitals,Proprietary,1,1,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,33.0,0.0,51.0,59.0,27.0,50.0,246.0,,227.0,315.0,454.0,268.0,0.9253,1.0018,1.0552,0.938,1.1505,1.0597,15.2542,13.9967,20.8742,19.9593,5.3405,17.5396,16.4859,13.9722,19.7818,21.2795,4.6418,16.5511,1.0063469999999999
10108,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,,,40.0,36.0,,47.0,,,254.0,163.0,,246.0,,,0.9374,1.0252,,1.0486,,,17.4084,21.1577,,18.1,,,18.5712,20.6377,,17.2605,0.9423879999999999
10109,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,,1.0,2.0,,,,17.0,0.0,,14.0,,,61.0,,,122.0,,,1.0928,1.0069,,0.9539,,,18.4659,19.1833,,13.3642,,,16.8974,19.0516,,14.0093,0.836889
10110,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,,2.0,,2.0,3.0,,,,12.0,0.0,,0.0,,,60.0,,,,,,1.0349,0.9788,,1.0478,,,16.4187,20.33,,15.5764,,,15.8647,20.7709,,14.8652,1.052041
10112,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,,2.0,1.0,2.0,2.0,2.0,,,11.0,14.0,,28.0,,,93.0,76.0,,134.0,,,0.9474,0.9897,,1.1311,,,15.4726,19.2341,,16.2719,,,16.3322,19.4348,,14.3856,1.036367
10113,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,37.0,17.0,134.0,175.0,34.0,181.0,249.0,127.0,601.0,791.0,635.0,968.0,1.0073,0.9945,1.113,1.0479,1.1218,1.0862,14.6933,13.5352,21.11,21.761999999999997,5.001,18.255,14.5862,13.6094,18.9663,20.7675,4.4582,16.8066,0.974258
10114,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,,23.0,40.0,0.0,48.0,,,191.0,181.0,,288.0,1.0028,,0.8925,1.0044,0.9884,0.9866,18.2103,,15.8459,21.9473,4.6765,16.9086,18.1595,,17.7549,21.8502,4.7315,17.137999999999998,0.983008
10118,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,31.0,,30.0,84.0,,42.0,116.0,,209.0,320.0,0.0,217.0,1.1262,,0.8772,1.0824,,1.0295,20.4366,,18.5636,24.6714,,18.6433,18.1464,,21.1616,22.7931,,18.1086,0.945833
10120,AL,Acute Care Hospitals,Government - Local,1,1,3.0,2.0,,2.0,3.0,2.0,3.0,2.0,,,13.0,13.0,,35.0,,,63.0,100.0,,177.0,,,1.0237,0.9295,,1.1331,,,18.2334,17.2667,,16.2333,,,17.8117,18.5766,,14.3266,1.041216
10125,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,5.0,3.0,,3.0,2.0,2.0,3.0,2.0,,,38.0,15.0,,50.0,,,334.0,79.0,,550.0,,,0.8614,0.9841,,0.7767,,,14.1375,20.2117,,11.3154,,,16.4118,20.539,,14.5688,0.879434
10126,AL,Acute Care Hospitals,Government - Federal,1,1,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,,28.0,25.0,0.0,12.0,,,125.0,87.0,,118.0,,,1.0619,1.0874,1.0461,0.9248,,,19.2212,22.8032,4.1807,13.4361,,,18.1,20.9696,3.9963,14.5279,0.986293
10128,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,,2.0,,2.0,2.0,,,,0.0,0.0,,0.0,,,,,,,,,0.9237,1.0027,,0.9757,,,13.040999999999999,16.149,,12.7963,,,14.1176,16.1051,,13.1148,0.9284020000000001
10129,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2.0,2.0,,1.0,2.0,2.0,2.0,,,,18.0,16.0,,25.0,,,75.0,68.0,,161.0,,,1.0518,1.0234,,0.9972,,,19.5871,21.4463,,15.6143,,,18.6219,20.9553,,15.6575,0.8699520000000001
10130,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,,,19.0,33.0,,68.0,,,120.0,133.0,,322.0,,,0.9656,1.0471,,1.1868,,,17.7287,22.6648,,18.395,,,18.3611,21.6449,,15.5002,0.85108
10131,AL,Acute Care Hospitals,Proprietary,1,1,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,30.0,,68.0,95.0,37.0,71.0,178.0,,438.0,410.0,798.0,495.0,1.0538,,0.9501,1.0782,1.0498,0.9611,15.1817,,16.2701,22.0445,4.518,14.7468,14.4069,,17.1242,20.4453,4.3037,15.3439,0.970306
10138,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.081071
10139,AL,Acute Care Hospitals,Proprietary,1,1,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,60.0,30.0,67.0,94.0,38.0,109.0,346.0,194.0,320.0,502.0,774.0,634.0,1.0424,1.0898,1.0623,0.946,1.1117,1.0742,16.6382,13.9263,19.6939,19.3906,4.6438,16.6175,15.9614,12.7782,18.5388,20.4982,4.1771,15.4694,1.020289
